name,ingredients,recipe,type,best
Картошка по-деревенски,"Картофель - 650 г
Соль - 1/2 ч. ложки
Перец чёрный молотый - на кончике ножа
Паприка молотая - 1/4 ч. ложки
Куркума молотая - 1/4 ч. ложки
Масло растительное (для жарки) - 2-3 ст. ложки (30-45 мл)","	Подготовьте необходимые продукты.
	Картофель тщательно промойте при помощи щётки. Обсушите клубни полотенцем. Разрежьте картошку пополам. Затем каждую половинку картофеля разрежьте ещё на 4 дольки. Таким же способом подготовьте оставшуюся картошку.
	Посыпьте дольки картофеля солью, добавьте чёрный перец, паприку и куркуму. Тщательно перемешайте, чтобы соль и пряности распределились по картошке. (Удобнее перемешивать картофельные дольки руками).
	В сковородке разогрейте растительное масло. Выложите подготовленный картофель и обжаривайте на огне чуть больше среднего, помешивая каждые 3 минуты, до полной готовности картофеля. Этот процесс займёт примерно 20-25 минут.
	Подавать картошку по-деревенски, жаренную на сковороде, лучше сразу после приготовления, пока корочка не размягчилась.
	Приятного аппетита!",Гарнир,0
"Борщ ""Классический""","Говядина - 500 г
Картофель - 500 г
Капуста белокочанная - 500 г
Свекла - 300 г
Морковь - 300 г
Лук репчатый - 2 шт.
Томат-паста - 2 ст. ложки
Чернослив - 5 шт.
Зелень петрушки - 1 пучок
Соль - 0,5-1 ст. ложка (по вкусу)
Масло растительное - 2 ст. ложки
Вода - 2 л
Сметана (для подачи) - по вкусу","	Подготавливают все необходимые продукты. Если чернослив сухой, заливают его кипятком на 10-15 минут.
	Мясо нарезают небольшими кусочками.
	Выкладывают мясо в кастрюлю, заливают холодной водой. Доводят до кипения, снимают пену и варят мясо 1,5 часа на маленьком огне, под крышкой.
	Картофель очищают и нарезают крупными кусками.
	Свеклу очищают, нарезают соломкой. Обычно свёклу тушат в сковороде с добавлением лимонного сока или уксуса - можно сделать именно так. Но в этом рецепте свёкла добавляется в бульон в сыром виде и варится вместе с картошкой и капустой.
	Капусту шинкуют соломкой.
	Лук чистят и мелко нарезают.
	Морковь чистят и натирают на крупной терке.
	Чернослив очищают от косточек, мелко нарезают.
	Сковороду нагревают, наливают растительное масло. В горячее масло выкладывают лук и морковь, обжаривают овощи, помешивая, 3-4 минуты на среднем огне. Добавляют томатную пасту, перемешивают и обжаривают овощи с томатом ещё 1 минуту.
	В мясной бульон добавляют картофель, свёклу, капусту, обжаренные лук и морковь. Добавляют чернослив, соль и варят борщ с черносливом до готовности картофеля, 20-25 минут.
	Зелень моют и мелко режут.
	Готовый борщ с черносливом разливают по тарелкам, посыпают измельченной зеленью петрушки.
	Подают борщ со сметаной.
	Приятного аппетита!",Первое блюдо,0
Голубцы с мясом и рисом,"Свинина - 500 грамм
Рис – 150 грамм
Капуста белокочанная - 1 кочан
Лук репчатый – 1 шт.
Морковь - 1 шт.
Томатная паста – 3 ст.л.
Сметана - 2 ст.л.
Лавровый лист
Душистый перец горошком
Смесь свежемолотых перцев
Соль
Растительное масло","	Капусту вымойте, на кочане по кругу сделайте глубокие прорези, чтобы листья хорошо отделялись, а в сам кочан воткните нож, чтобы за нож держать капусту.
	Положите капусту в большую кастрюлю, влейте воду, посолите и поставьте на плиту закипать. Когда вода закипит, уменьшите огонь и оставьте капусту вариться до тех пор, пока не начнут отделяться листья.
	Когда первый верхний лист будет отпадать, приподнимите капусту, держа за нож, аккуратно снимите этот лист и выньте его с кастрюли.
	Подобным образом проварите весь кочан капусты, постепенно снимая по одному капустному листу.
	Листья капусты остудите и с каждого срежьте жесткую часть.
	Рис промойте, выложите в кастрюлю, налейте воду (в 1,5 раза больше, чем риса), посолите и варите до полуготовности.
	Мясо вымойте, снимите лишний жир и перекрутите на мясорубке.
	Лук почистите, вымойте и перекрутите на мясорубке.
	Мясо с луком перемешайте, добавьте рис, приправьте солью, перцем и тщательно перемешайте.
	Морковь очистите, вымойте, натрите на крупной терке и пожарьте в сковороде с добавлением томатной пасты.
	На капустный лист положите горсть фарша и заверните его конвертиком.
	В сковороду выложите жариться голубцы. Обжарьте их с двух сторон до румяного цвета.
	Жареные голубцы складывайте в кастрюлю, в которой они будут тушиться.
	Когда все голубцы будут обжарены и сложены в кастрюлю, залейте их морковно-томатной подливой, добавьте сметану, лавровый лист, перец.
	Кастрюлю накройте крышкой и тушите голубцы 1 час на маленьком огне.",Второе блюдо,0
Шаурма с курицей,"Лаваш тонкий - 2 шт.
Филе куриное - 2 шт.
Капуста белокочанная - 300 г
Помидоры - 2 шт.
Перец болгарский - 1 шт.
Лук репчатый - 1 шт.
Лук зеленый - 3 шт.
Майонез - 3 ст. л.
Сметана - 2 ст. л.
Кетчуп - 5 ст. л.
Чеснок - 2 зубчика
Уксус 5% - по вкусу
Сахар - 1 щепотка
Соль - 1 щепотка
Перец черный - 1 щепотка
Масло растительное - для жарки","	Куриное филе нарезаем небольшими кусочками (брусочками). Солим, перчим и перемешиваем.
	На сковороде разогреваем растительное масло. Обжариваем куриное филе до готовности, около 15 минут.
	Репчатый лук очищаем и нарезаем тонкими полукольцами. Зеленый лук нарезаем мелко.
	Болгарский перец очищаем от семян и нарезаем тонкими полосочками.
	Помидоры нарезаем небольшими кусочками.
	Капусту шинкуем мелко. Посыпаем солью, сахаром и сбрызгиваем уксусом. Перемешиваем капусту и немного приминаем ее руками.
	Соединяем капусту, сладкий перец, помидоры, репчатый лук и зеленый лук. Перемешиваем.
	Готовим соус. Для этого смешиваем майонез, сметану, кетчуп и измельченный чеснок. Солим и перчим по вкусу. Перемешиваем.
	Формируем шаурму. Разрезаем лаваш на две части.
	На край лаваша выкладываем обжаренные кусочки курицы, поливаем соусом (примерно 2-3 ст. ложки).
	На мясо и соус выкладываем овощи.
	Заворачиваем продольные края лаваша на начинку и сворачиваем лаваш с начинкой рулетом (конвертом). То же самое делаем с остальными листами лаваша.
	Обжариваем шаурму с курицей на сковороде (на масле) с двух сторон до румяной корочки.
	Подаем домашнюю шаурму с курицей горячей.
Приятного аппетита!",Закуски,0
Хачапури по-анджарски,"Молоко (теплое) - 125 мл
Вода (теплая) - 125 мл
Яйцо - 1 шт.
Масло растительное - 2 ст. ложки
Мука - 400 г
Дрожжи сухие - 7 г (1 маленький пакетик)
Сахар - 2 ч. ложки
Соль - 1 ч. ложка
Для начинки:
Сыр моцарелла (твёрдый) - 200 г
Сыр адыгейский - 250 г
Яйца - 4-5 шт.
Масло сливочное - 100 г","	Подготавливаем продукты для теста. Муку обязательно просеиваем. Вода и молоко должны быть теплыми.
	В чаше смешиваем воду и молоко. Добавляем сахар, дрожжи и пару ложек муки - это будет опара. Убираем в теплое место минут на 10.
	Дрожжи активизировались, взялись хорошей ""шапкой"". Теперь отправляем в опару яйцо, растительное масло, соль. Перемешиваем.
	Постепенно вводим всю муку. Поначалу тесто будет липким. Ничего страшного, так и должно быть. Прилагаем усилия - замешиваем тесто минут 10.
	Через 10 минут тесто хорошо собралось в шар. Оно еще липкое, но уже не пристает к рукам.
	Дрожжевое тесто убираем в чашу, накрываем крышкой (пленкой), оставляем в теплом месте и даем увеличиться в объеме. Это займет 50-60 минут.
	Через час тесто достаем и хорошо обминаем. Даже если оно ""пищит"", не переживайте! Ему (тесту) от этого будет только лучше. Хорошо вымесили - убираем еще на час в теплое место.
	Пока тесто для хачапури по-аджарски подходит, займемся начинкой. Традиционно для хачапури используется имеретинский сыр, но я сегодня взял адыгейский сыр и твёрдую моцареллу.
	Весь сыр натираем на крупной терке. Добавляем сливочное масло (мягкое) и хорошо все перемешиваем. Куриные яйца хорошо моем.
	Тесто отлично подошло. Воздушное и вкусно пахнет! Слегка обминаем его и взвешиваем, чтобы разделить на 5 равных частей.
	Заготовки округляем. У меня получились по 138 г.
	Раскатываем шарики в тонкую круглую лепешку толщиной 3-4 мм.
	Противоположные края лепешек смазываем начинкой (по половинке столовой ложки).
	Теперь аккуратно заворачиваем края с начинкой к центру.
	Защипываем края. Получилась лодочка!	
	Переносим ""лодочку"" на противень, смазываем яйцом и выкладываем в середину начинку.
	К этому времени духовку разогрели до 220 градусов. Отправляем хачапури по-аджарски в духовку и выпекаем до слегка золотистой корочки.
	Минут за пять до готовности (слегка золотистый цвет) достаем из духовки. Делаем в центре начинки углубление и вливаем сырое яйцо.
	Ставим хачапури по-аджарски обратно в духовку на несколько минут, пока яйцо не схватится (белок должен побелеть).",Изделия из теста,0
Свинина маринованная жаренная,"Свиная корейка без косточек – 1 кг
Для маринада:
Растительное масло – 1/2 стакана
Уксус – 1/4 стакана
Мед – 2 ст. ложки
Чеснок – 5-6 зубчиков
Горчица готовая – 1 ст. ложка
Соль – по вкусу","	Смешать растительное масло, уксус, мед, продавленный через пресс чеснок, горчицу и соль.
	Свинину нарезать кусками, толщиной 1 см.
	Залить свинину маринадом и поставить в холодильник на 3-24 часа.
	Затем поджарить мясо с обеих сторон на хорошо разогретой сковороде (по несколько минут с каждой стороны, проверяя готовность).
	Выложить мясо на тарелку, завернуть в фольгу и поставить в теплую духовку (80 градусов) на 30 минут.
	Жареная свинина маринованная готова.
	К жареной свинине можно подать свой любимый соус и на гарнир приготовить запеченный картофель.
	Приятного аппетита!",Маринады,0
Квас из чёрного хлеба,"Хлеб черный - 200 г
или сухари из черного хлеба - 100 г
Вода - 1,5-2 л
На 1 л жидкости:
Сахар - 50 г
Дрожжи сухие - 2 г","	Черный хлеб нарезать небольшими кусочками и подсушить в духовке. Можно несколько ломтиков хорошо подрумянить (для более насыщенного цвета напитка).
	Вскипятить воду из расчета: на 100 г сухарей - 1,5-2 л воды. Залить сухари кипятком, накрыть салфеткой и оставить на 4-6 часов для настаивания - приобретения цвета и хлебного вкуса.
	Затем добавить сахар и дрожжи в такой пропорции: на 1 л жидкости - 50 г сахара и 2 г дрожжей.
	Накрыть салфеткой и оставить в теплом месте.
	Квас из черного хлеба должен созреть на вторые сутки. Готовый квас процедить.
	Квас из черного хлеба разлить в бутылки, плотно закрыть и убрать в холодильник.",Напитки,0
Зефир яблочный,"Яблоки кислые - 900-1000 г
Сахар - 250 г
Ванильный сахар - 10 г
Белок яичный - 1 шт.
Для сиропа:
Вода - 140 мл
Сок лимонный - 20 мл
Сахар - 475 г
Агар-агар - 8 г
Пудра сахарная - для посыпки","	Приготовим яблочное пюре. 4 кислых крупных яблока моем, разрезаем пополам удаляем сердцевину и плодоножку.
	Варим в пароварке или запекаем в духовке 20-30 минут, до готовности.
	Пока яблоки варятся, замачиваем агар-агар. Для этого наливаем в кастрюлю 140 миллилитров воды, добавляем 20 миллилитров лимонного сока и 8 граммов агар-агара, перемешиваем и отставляем в сторону.
	Готовые яблоки очищаем от кожицы и протираем через сито.
	Добавляем 250 граммов сахарного песка и 10 граммов ванильного сахара, перемешиваем. Оставляем остывать приблизительно на 1 час.
	Через час кастрюлю с агар-агаром ставим на огонь, доводим почти до кипения, добавляем 475 граммов сахара и все время перемешиваем до полного растворения сахара.
	Увариваем сироп до пробы на тонкую нить (до 110 градусов Цельсия), время от времени перемешивая. Снимаем с огня и даем немного остыть, приблизительно до 100 градусов.
	Пока сироп остывает, взбиваем миксером остывшее яблочное пюре, в процессе взбивания, в два приема добавляем один яичный белок.
	Продолжаем взбивать до получения белой пышной массы. Масса увеличилась в объеме в 2,5 раза. Не прекращая взбивания, тонкой струйкой добавляем остывший до 100-105 градусов сироп. Взбиваем до получения белой пышной и плотной массы (масса увеличивается в объеме в 2,5 раза).
	Перекладываем зефирную массу в кондитерский мешок с зубчатой насадкой и отсаживаем на бумагу для выпечки пирожные одинакового размера. Оставляем зефир при комнатной температуре на сутки, чтобы он немного подсох.
	Подсохший зефир посыпаем сахарной пудрой.
	Склеиваем попарно, выкладываем на блюдо.
	Яблочный зефир готов. Подаем очень вкусный, нежный и воздушный фруктовый десерт к столу.
	",Сладости,0
Томатный соус к мясу,"Томатная паста - 250 мл
Вода - 200 мл
Чеснок - 3 зубчика
Базилик зелёный - 1 пучок
Хмели-сунели - 2 ч. ложки
Сахар - 2 ч. ложки
Перец чёрный свежемолотый - по вкусу
Соль - по вкусу","	Приготовление соуса начинаем с подготовки овощей. Листья базилика снимаем с веточек. Складываем их вместе, выкладывая поочередно друг на друга.
	Сворачиваем получившуюся стопку листьев в некое подобие трубочки. Мелко их нарезаем.
	Очищаем от шелухи зубчики чеснока. Нарезаем их мелкими кубиками.
	Ставим сковороду на огонь. Открываем банку с томатной пастой и выкладываем её (пасту) в сковороду.
	Немного обжариваем пасту на сильном огне, постоянно помешивая. Делается это для того, чтобы у соуса был более яркий цвет, и он получил более насыщенный томатный вкус.
	Добавляем воду.
	Перемешиваем содержимое сковороды до однородного состояния.
	Когда смесь начнёт закипать, добавляем в неё чеснок, базилик, хмели-сунели, сахар, соль и свежемолотый перец.
	Перемешиваем.
	Выпариваем соус до желаемой консистенции. Слишком густым делать его я не советую. Учтите, что после того, как соус остынет, он станет ещё немного гуще.
	Даём готовому томатному соусу остыть до комнатной температуры. После этого красный соус к мясу следует переложить в соусник.
	Для красивой подачи соус можно украсить веточкой базилика.
	Приятного аппетита!",Соусы,0
Квашенная капуста по-грузински,"Капуста белокочанная - 1 шт.
Свекла - 1 шт.
Морковь - 1 шт.
Чеснок - 1 головка
Перец острый - 1 шт. (по вкусу)
Лук репчатый (по желанию) - 1 шт.
Перец черный горошком - 4-6 шт. (по вкусу)
Для рассола:
Вода - 1 л
Сахар - 0,5 стакана
Уксус 9% - 0,5-1 стакан
Соль крупная - 2 ст. ложки","	Свеклу очистить, помыть, нарезать соломкой.
	Морковь очистить, помыть, нарезать соломкой.
	Лук репчатый очистить, помыть, нарезать полукольцами.
	Капусту разрезать на четыре части.
	А затем вырезать кочан, нарезать капусту крупными кусками.
	Чеснок очистить, мелко нарубить ножом или раздавить в чесночнице. Перец острый нарезать мелко.
	Все ингредиенты сложить в миску. Можно добавить несколько горошин черного перца.
	Перемешать овощи хорошо.
	Перемешанные овощи сложить в 3-литровую банку.
	Сделать рассол: налить воду в кастрюлю, добавить соль и сахар. Затем поставить кастрюлю на огонь, довести до кипения, добавить уксус.
	Горячим рассолом залить банку с капустой.
	Закрыть банку капроновой крышкой. Оставить капусту при комнатной температуре на 12 часов. Квашеная капуста по-грузински готова!
	(Хранить квашеную капуста по-грузински следует в холодном месте.)
	Приятного аппетита!",Заготовки,0
